elevatorId,dayOfTheWeek,time,startingPoint
E2,4,21:52,0
E2,4,21:38,10
E2,4,09:01,9
E2,4,16:05,6
E2,4,09:15,4
E2,4,21:34,11
E2,4,12:01,3
E2,4,20:45,12
E2,4,16:57,9
E2,4,07:38,12
E2,4,18:57,7
E2,4,15:48,13
E2,4,14:01,11
E2,4,07:12,5
E2,4,21:57,12
E2,4,21:07,4
E2,4,10:00,14
E2,4,07:49,2
E2,4,11:37,7
E2,4,07:00,14
E2,4,13:01,0
E2,4,16:33,14
E2,4,20:56,0
E2,4,06:33,11
E2,4,17:03,6
E2,4,16:36,14
E2,4,16:54,5
E2,4,07:37,9
E2,4,15:55,15
E2,4,17:16,8
E2,4,11:13,3
E2,4,18:04,4
E2,4,13:34,9
E2,4,17:52,5
E2,4,13:19,0
E2,4,10:45,15
E2,4,14:50,8
E2,4,11:59,5
E2,4,19:42,9
E2,4,09:27,8
E2,4,11:09,9
E2,4,06:20,8
E2,4,09:07,9
E2,4,17:25,11
E2,4,15:33,0
E2,4,18:01,6
E2,4,14:47,7
E2,4,15:23,12
E1,5,09:51,13
E1,5,18:40,7
E1,5,06:12,14
E1,5,18:35,8
E1,5,18:50,7
E1,5,17:26,7
E1,5,15:41,13
E1,5,06:07,1
E1,5,17:32,1
E1,5,19:06,11
E1,5,12:56,0
E1,5,07:09,8
E1,5,16:58,11
E1,5,21:48,7
E1,5,09:26,15
E1,5,12:14,12
E1,5,19:15,0
E1,5,08:18,2
E1,5,07:50,9
E1,5,08:32,13
E1,5,16:12,8
E1,5,18:20,12
E1,5,20:26,3
E1,5,11:39,2
E1,5,06:52,4
E1,5,21:17,5
E1,5,19:47,2
E1,5,08:46,13
E1,5,19:47,5
E1,5,07:19,0
E1,5,18:04,9
E1,5,19:03,7
E1,5,16:40,5
E1,5,12:01,5
E1,5,17:55,7
E1,5,16:46,5
E1,5,09:42,14
E1,5,07:23,2
E1,5,16:40,10
E1,5,13:14,12
E1,5,09:11,7
E1,5,10:33,13
E1,5,14:53,9
E1,5,13:13,1
E1,5,21:06,1
E1,5,16:38,4
E1,5,12:57,11
E1,5,10:50,3
E1,5,07:37,5
E1,5,17:27,15
E2,5,07:16,1
E2,5,19:38,4
E2,5,06:58,8
E2,5,09:08,3
E2,5,16:02,4
E2,5,08:08,2
E2,5,18:28,10
E2,5,07:57,8
E2,5,17:00,6
E2,5,14:25,14
E2,5,08:31,4
E2,5,20:43,15
E2,5,12:32,9
E2,5,11:58,14
E2,5,09:53,11
E2,5,07:49,8
E2,5,08:35,15
E2,5,17:52,3
E2,5,19:05,12
E2,5,18:07,14
E2,5,10:15,14
E2,5,17:59,11
E2,5,06:13,4
E2,5,09:20,6
E2,5,07:12,7
E2,5,17:07,14
E2,5,08:47,3
E2,5,17:28,6
E2,5,09:21,6
E2,5,15:06,11
E2,5,19:00,1
E2,5,16:03,10
E2,5,13:03,0
E2,5,21:59,13
E2,5,21:19,6
E2,5,11:40,0
E2,5,08:54,11
E2,5,19:07,12
E2,5,15:01,15
E2,5,11:48,2
E2,5,17:01,13
E2,5,16:02,4
E2,5,16:10,15
E2,5,10:27,15
E2,5,07:30,1
E2,5,08:53,4
E2,5,10:14,15
E2,5,13:31,13
E2,5,09:22,13
E2,5,13:41,12
E1,6,08:31,13
E1,6,20:35,3
E1,6,21:25,15
E1,6,06:33,6
E1,6,14:58,15
E1,6,21:17,10
E1,6,21:19,0
E1,6,07:54,10
E1,6,19:42,8
E1,6,13:05,14
E1,6,19:31,13
E1,6,08:01,5
E1,6,13:22,15
E1,6,19:19,13
E1,6,06:27,0
E1,6,13:46,9
E1,6,21:28,13
E1,6,13:07,3
E1,6,14:46,15
E1,6,08:53,11
E1,6,08:01,5
E1,6,16:15,6
E1,6,16:25,7
E1,6,14:18,7
E1,6,13:47,2
E1,6,16:11,0
E1,6,17:14,5
E1,6,19:44,3
E1,6,12:55,2
E1,6,17:55,10
E1,6,18:23,5
E1,6,07:39,11
E1,6,19:38,6
E1,6,21:11,12
E1,6,16:13,2
E1,6,07:53,14
E1,6,19:06,8
E1,6,21:06,3
E1,6,08:44,1
E1,6,21:20,7
E1,6,20:11,10
E1,6,19:08,13
E1,6,09:38,15
E1,6,16:33,13
E1,6,21:21,0
E1,6,09:13,3
E1,6,11:38,5
E1,6,14:36,9
E1,6,09:14,11
E1,6,10:41,7
E2,6,10:52,2
E2,6,17:05,14
E2,6,11:15,12
E2,6,17:03,6
E2,6,10:00,9
E2,6,14:16,13
E2,6,12:51,9
E2,6,09:31,3
E2,6,13:12,8
E2,6,10:07,4
E2,6,20:22,7
E2,6,14:10,0
E2,6,14:22,13
E2,6,11:06,5
E2,6,18:36,11
E2,6,07:20,13
E2,6,15:12,11
E2,6,21:38,10
E2,6,15:26,10
E2,6,16:13,9
E2,6,20:54,0
E2,6,10:57,10
E2,6,08:42,2
E2,6,17:19,6
E2,6,20:42,8
E2,6,21:24,2
E2,6,19:51,3
E2,6,17:34,12
E2,6,20:38,4
E2,6,18:35,15
E2,6,11:51,6
E2,6,13:40,1
E2,6,16:41,10
E2,6,14:16,11
E2,6,06:36,5
E2,6,12:02,3
E2,6,15:48,13
E2,6,13:59,8
E2,6,06:31,2
E2,6,18:41,4
E2,6,18:18,12
E2,6,10:06,15
E2,6,11:59,9
E2,6,18:08,13
E2,6,16:13,9
E2,6,14:31,4
E2,6,18:25,5
E2,6,09:39,2
E2,6,13:55,6
E2,6,18:59,15
E1,7,14:07,7
E1,7,11:59,5
E1,7,11:14,3
E1,7,13:35,6
E1,7,21:20,5
E1,7,13:41,7
E1,7,13:15,8
E1,7,11:34,1
E1,7,06:43,4
E1,7,13:03,12
E1,7,15:45,13
E1,7,14:04,1
E1,7,13:55,4
E1,7,07:26,14
E1,7,16:44,10
E1,7,09:51,6
E1,7,12:10,14
E1,7,17:20,7
E1,7,11:52,10
E1,7,09:27,5
E1,7,09:07,1
E1,7,18:56,3
E1,7,21:31,11
E1,7,18:09,1
E1,7,19:26,7
E1,7,11:10,11
E1,7,07:07,13
E1,7,18:45,0
E1,7,12:45,2
E1,7,20:19,11
E1,7,09:37,11
E1,7,06:01,1
E1,7,06:12,9
E1,7,10:47,14
E1,7,10:38,6
E1,7,12:30,3
E1,7,17:33,2
E1,7,19:11,14
E1,7,13:35,9
E1,7,14:51,8
E1,7,07:32,11
E1,7,19:24,8
E1,7,07:28,7
E1,7,11:27,11
E1,7,19:50,13
E1,7,11:04,3
E1,7,17:38,8
E1,7,18:19,14
E1,7,14:49,4
E1,7,20:09,2
E2,7,15:11,1
E2,7,14:40,4
E2,7,20:28,11
E2,7,20:16,15
E2,7,19:05,15
E2,7,19:05,12
E2,7,15:34,15
E2,7,09:52,5
E2,7,19:23,13
E2,7,08:43,1
E2,7,18:01,5
E2,7,10:39,7
E2,7,18:10,15
E2,7,08:04,1
E2,7,09:10,7
E2,7,18:43,1
E2,7,09:08,15
E2,7,10:40,8
E2,7,12:46,14
E2,7,20:03,12
E2,7,21:26,9
E2,7,07:16,0
E2,7,15:08,12
E2,7,11:42,4
E2,7,20:02,0
E2,7,06:06,14
E2,7,12:48,6
E2,7,15:48,1
E2,7,19:54,2
E2,7,11:26,11
E2,7,14:37,12
E2,7,10:18,1
E2,7,21:00,6
E2,7,18:31,12
E2,7,07:12,14
E2,7,21:01,5
E2,7,09:27,9
E2,7,07:56,8
E2,7,20:02,15
E2,7,06:45,15
E2,7,17:52,1
E2,7,17:09,15
E2,7,21:59,0
E2,7,19:50,0
E2,7,11:58,6
E2,7,17:20,15
E2,7,07:44,7
E2,7,09:23,0
E2,7,21:01,5
E2,7,12:26,10
